episodes,avg_reward,mode
132,38.962406015037594,Training_poisoned
134,39.49629629629629,Training_poisoned
136,39.81021897810219,Training_poisoned
138,40.273381294964025,Training_poisoned
140,40.638297872340424,Training_poisoned
142,41.09090909090909,Training_poisoned
144,41.51724137931034,Training_poisoned
146,42.06802721088435,Training_poisoned
148,42.52348993288591,Training_poisoned
150,42.966887417218544,Training_poisoned
152,43.35947712418301,Training_poisoned
154,43.89677419354839,Training_poisoned
156,44.382165605095544,Training_poisoned
158,44.943396226415096,Training_poisoned
160,45.29192546583851,Training_poisoned
162,45.74233128834356,Training_poisoned
164,46.2060606060606,Training_poisoned
166,46.51497005988024,Training_poisoned
168,46.93491124260355,Training_poisoned
170,47.32163742690059,Training_poisoned
172,47.74566473988439,Training_poisoned
174,48.27428571428572,Training_poisoned
176,48.74576271186441,Training_poisoned
178,49.28491620111732,Training_poisoned
180,49.65745856353591,Training_poisoned
182,49.95628415300546,Training_poisoned
184,50.34594594594594,Training_poisoned
186,50.844919786096256,Training_poisoned
188,51.29100529100529,Training_poisoned
190,51.675392670157066,Training_poisoned
192,52.0,Training_poisoned
194,52.235897435897435,Training_poisoned
196,52.63959390862944,Training_poisoned
198,52.95477386934673,Training_poisoned
200,53.32338308457712,Training_poisoned
202,53.75369458128079,Training_poisoned
204,54.048780487804876,Training_poisoned
206,54.367149758454104,Training_poisoned
208,54.73684210526316,Training_poisoned
210,55.04265402843602,Training_poisoned
212,55.39906103286385,Training_poisoned
214,55.87906976744186,Training_poisoned
216,56.294930875576036,Training_poisoned
218,56.666666666666664,Training_poisoned
220,56.977375565610856,Training_poisoned
222,57.300448430493276,Training_poisoned
224,57.617777777777775,Training_poisoned
226,58.008810572687224,Training_poisoned
228,58.262008733624455,Training_poisoned
230,58.666666666666664,Training_poisoned
232,59.107296137339056,Training_poisoned
234,59.39574468085107,Training_poisoned
236,59.729957805907176,Training_poisoned
238,60.02510460251046,Training_poisoned
240,60.356846473029044,Training_poisoned
242,60.68312757201646,Training_poisoned
244,61.04489795918367,Training_poisoned
246,61.441295546558706,Training_poisoned
248,61.7429718875502,Training_poisoned
250,62.0398406374502,Training_poisoned
252,62.34782608695652,Training_poisoned
254,62.68235294117647,Training_poisoned
256,62.98054474708171,Training_poisoned
258,63.32046332046332,Training_poisoned
260,63.67049808429119,Training_poisoned
262,63.98479087452471,Training_poisoned
264,64.26415094339623,Training_poisoned
